Name,SMILES,"HIA_Hou
人肠道吸收","HIA_Status
HIA评估","Caco2_Wang
Caco-2渗透性","Caco2_Status
Caco-2评估","Pgp_Broccatelli
P-gp底物","Pgp_Status
P-gp评估","Bioavailability_Ma
口服生物利用度","Bioavailability_Status
生物利用度评估","PAMPA_NCATS
PAMPA渗透性","Solubility_AqSolDB
水溶性(logS)","Solubility_Status
水溶性评估","Lipophilicity_AstraZeneca
亲脂性(logP)","Lipophilicity_Status
亲脂性评估","Comprehensive_Score
综合评分","Rating
评级","Stars
星级"
1_5'-L-valyl-gemcitabine,NC1=NC(N(C=C1)[C@@H](C(F)([C@@H]2O)F)O[C@@H]2COC([C@H](C(C)C)N)=O)=O,0.9976,✅ 优秀,-5.5372,⚠️ 中等渗透性,0.0194,✅ 非P-gp底物,0.9165,✅ 高生物利用度,0.6335,-2.2259,✅ 可溶性好,-0.4588,⚠️ 偏亲水,0.8685,优秀,★★★★★
2_5'-L-valyl-decitabine,O[C@H]1C[C@@H](O[C@@H]1COC([C@H](C(C)C)N)=O)N2C(N=C(N=C2)N)=O,0.9913,✅ 优秀,-5.8119,⚠️ 中等渗透性,0.0031,✅ 非P-gp底物,0.8735,✅ 高生物利用度,0.3267,-1.4457,✅ 可溶性好,-1.5700,⚠️ 偏亲水,0.8433,优秀,★★★★★
3_5'-L-phenylanlany-decitabine,N[C@@H](CC1=CC=CC=C1)C(OC[C@H]2O[C@@H](N3C(N=C(N=C3)N)=O)C[C@@H]2O)=O,0.9892,✅ 优秀,-5.8821,⚠️ 中等渗透性,0.0293,✅ 非P-gp底物,0.8528,✅ 高生物利用度,0.3190,-2.2585,✅ 可溶性好,-0.2137,⚠️ 偏亲水,0.8279,优秀,★★★★★
4_Val-Ala-Asn-decitabine,C[C@@H](C(N[C@@H](CC(N)=O)C(NCOC[C@H]1O[C@@H](N2C(N=C(N=C2)N)=O)C[C@@H]1O)=O)=O)NC([C@H](C(C)C)N)=O,0.4163,❌ 较差,-6.4596,❌ 低渗透性,0.0223,✅ 非P-gp底物,0.3993,❌ 低生物利用度,0.1409,-2.4777,✅ 可溶性好,0.0173,⚠️ 偏亲水,0.4956,很差,★
5_EMC-Val-Ala-Asn-decitabine,C[C@@H](C(N[C@@H](CC(N)=O)C(NCOC[C@H]1O[C@@H](N2C(N=C(N=C2)N)=O)C[C@@H]1O)=O)=O)NC([C@H](C(C)C)NC(CCCCCN3C(C=CC3=O)=O)=O)=O,0.4935,❌ 较差,-6.1435,❌ 低渗透性,0.1003,✅ 非P-gp底物,0.2892,❌ 低生物利用度,0.1894,-4.0209,⚠️ 中等溶解性,1.1596,✅ 适中,0.4836,很差,★
6_EMC-Ala-Ala-Asn-gemcitabine,NC1=NC(N(C=C1)[C@@H](C(F)([C@@H]2O)F)O[C@@H]2COCNC([C@H](CC(N)=O)NC([C@H](C)NC([C@H](C)NC(CCCCCN3C(C=CC3=O)=O)=O)=O)=O)=O)=O,0.6873,⚠️ 中等,-6.1582,❌ 低渗透性,0.2249,✅ 非P-gp底物,0.2721,❌ 低生物利用度,0.1775,-4.1716,⚠️ 中等溶解性,1.5907,✅ 适中,0.5110,较差,★★
7_EMC-Ala-Ala-Ala-Asn-gemcitabine,O=C(C=C1)N(CCCCCC(N[C@@H](C)C(N[C@@H](C)C(N[C@@H](C)C(N[C@@H](CC(N)=O)C(NCOC[C@H]2O[C@H](C(F)([C@@H]2O)F)N3C=CC(N)=NC3=O)=O)=O)=O)=O)=O)C1=O,0.5889,⚠️ 中等,-6.2016,❌ 低渗透性,0.2196,✅ 非P-gp底物,0.2800,❌ 低生物利用度,0.1628,-4.1216,⚠️ 中等溶解性,1.4959,✅ 适中,0.4830,很差,★
